Question,Answer
Why is the midpoint of a range important?,It often acts as balance  how price reacts to it can reveal whos in control.
What makes an LPS ideal for position trades?,Its a structural confirmation of strength with tight risk  perfect for swing or long-term entries.
Why are range tests spaced apart?,To check if sentiment has shifted and to confirm whether supply or demand has changed.
What happens when a failed Spring becomes resistance?,It signals weakness  the failed demand test confirms the structure may break down soon.
Why does price sometimes stall after a breakout?,Because the CO is testing commitment and absorbing early sellers  a healthy pause before continuation.
What defines a 'Wyckoff wave pattern'?,"A series of alternating higher highs/lows or lower highs/lows, reflecting the shifting control between supply and demand."
What is 'climactic absorption'?,When a large volume surge doesnt move price significantly  the CO is absorbing retail panic at key levels.
Whats the best confirmation after a Spring?,"A successful test, followed by a Sign of Strength that breaks resistance with volume."
What makes a backup weak after a breakout?,"High volume on the pullback, wide spreads, and price breaking back into the range."
How does Wyckoff teach patience?,"By requiring structure, confirmation, and timing  not impulse entries or reactions to random price movement."
Why do retail traders lose in Phase B?,"Because of false signals, fakeouts, and overtrading the middle of the range without confirmation."
What causes price to coil before expansion?,"Supply and demand reach temporary balance  as one side gains dominance, price breaks out."
Why is LPS a critical moment in markup?,"It confirms prior strength, shows support, and provides a logical, low-risk re-entry before Phase E."
How do Wyckoff traders think differently from typical breakout traders?,They wait for structural confirmation and use volume clues  not just price levels.
What defines a healthy Sign of Strength?,Wide spread up bars with increasing volume and shallow pullbacks  showing dominance by demand.
Why is testing key in Accumulation?,To ensure that sellers are exhausted and the market is ready to trend upward.
How does the CO keep traders confused in Phase B?,"By swinging price up and down, using fakeouts, and giving mixed volume signals to create uncertainty."
What happens after an SOS without follow-through?,It could signal a weak breakout or premature move  a backup or deeper test may follow.
Why do failed breakouts retrace quickly?,"Because there was no true conviction  once early traders are trapped, price reverses aggressively."
What is the function of an Automatic Rally?,To establish the top of the Accumulation range and show early demand entering after Selling Climax.
Why is volume critical during breakout retests?,Low volume means no opposition  confirming the move. High volume may signal rejection or absorption.
Whats the purpose of false strength in Distribution?,"To lure in breakout buyers, allowing the CO to sell into strength and prepare for Mark-Down."
How can structure expose a false rally?,"If price moves up without confirming volume or breaks key support quickly, it's likely a trap."
Why do markets often test broken support?,To check if it has become resistance  confirming the new phase and sentiment shift.
Why does Phase A create confusion?,"It ends the trend but doesn't start the new one  price is erratic, volume is high, and emotions run strong."
What defines a 'false spring'?,A move below support that doesnt reverse with strength  demand is still weak or absent.
Why is a successful test often quiet?,Because smart money doesn't want to alert others  low volume and subtle reaction are ideal signs.
What is the 'line of least resistance'?,The direction in which price moves most easily  where supply or demand no longer opposes movement.
How do failed LPSY setups offer confirmation?,"If price fails to bounce after a weak rally, it confirms Distribution and suggests Mark-Down."
What signals strength in Reaccumulation?,"Higher lows, successful breakouts, and increased volume on rallies within an existing uptrend."
What happens when a Spring is followed by hesitation?,"It may need further testing, or the structure may still be maturing before Phase D begins."
What is a 'trend resumption LPS'?,"An LPS in Phase D of Reaccumulation, confirming that markup is continuing after consolidation."
